repo,group,rank_overall,repo_status,score,score_10,section_exists,required_files_total,required_files_found,required_files_passed,plagiarism_high_risk,plagiarism_max_similarity,plagiarism_related_repos,plagiarism_reasons,missing_files,reason,bai1.py_verdict,bai1.py_score,bai1.py_path,bai2.py_verdict,bai2.py_score,bai2.py_path,bai3.py_verdict,bai3.py_score,bai3.py_path,bai4.py_verdict,bai4.py_score,bai4.py_path,bai5.py_verdict,bai5.py_score,bai5.py_path
20230118-cell/khocodepython,,1,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20230254-glitch/khocodepython,,2,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20231448-png/bt-p-python,,3,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20231560-ux/PhyThon,,4,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20231672-khiem/btpython,,5,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20231715-creator/baitap,,6,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20231732-byte/B-i-Python,,7,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20231931-NQH/python,,8,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20231934-hub/bt-python,,9,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
20231960-beep/python,,10,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
Ancdvcdc/python,,11,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
Cherrynguyen11/b-i-t-p-luy-n-t-p,,12,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
DuongPham05/Khocodebaitap,,13,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
Hieuhoclaptrinh/python-study-assistant,,14,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
Nguyenvandung20231619/LapTrinhPyThon,,15,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
Nguyenvantruong314/baitap3.3,,16,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
TDHoan205/LTUDP-PRAC-CLASS,,17,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
TaiToieaut/taitap,,18,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
Thanhthuy1308/BT-PYTHON,,19,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
Tongngoctuyen/baitap3.3,,20,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
Tranmanhquan21/Bai_TapPy,,21,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
VietDung2005-super/28-3,,22,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
VietDung2005-super/L-V-Vi-t-D-ng,,23,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
cuonghuhuu/python_cacbuoitrenlop,,24,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
dungnv0506-web/BTVN,,25,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
hieppham250605-hash/baitap-python,,26,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
huulong231005-trom/baitap,,27,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
huyhug/baitaptrenlop,,28,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
k1lla187/btvn_python_ViAnhTuan,,29,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
ngoclinh205/python,,30,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
ngotuan16072005-hub/btpython-,,31,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
nguyenngochainam05-hue/BaiTapPython,,32,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
nongduong0403-create/baitapvn,,33,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
ntminh1202/py,,34,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
phammyle2105/python,,35,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
phandinhthi2k5-cyber/codePython,,36,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
tanh15rcb/KH-CDEPYTHON,,37,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
tdung141/AI_StudyCode,,38,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
tranminhhoa2005/Python,,39,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
vancong05/lab,,40,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
vduy31000-arch/baitap,,41,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
vumanhdungvu2005-boop/Bai_tap_python,,42,FAIL,0.0,0.0,False,5,0,0,False,0.0,,,bai1.py|bai2.py|bai3.py|bai4.py|bai5.py,Khong doc duoc cay thu muc repo,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,
